"","word","freq"
"""noth","""noth",3
"""notic","""notic",1
"""now","""now",13
"""o"",","""o"",",1
"""obsess","""obsess",1
"""odd","""odd",1
"""ofc","""ofc",1
"""offcours","""offcours",1
"""often","""often",1
"""oh","""oh",2
"""ok","""ok",1
"""one","""one",6
"""operationvadra","""operationvadra",1
"""opinioncheck","""opinioncheck",1
"""opposit"",","""opposit"",",1
"""p"",","""p"",",1
"""paid","""paid",3
"""pais","""pais",1
"""pakistan","""pakistan",1
"""pamphlet","""pamphlet",1
"""pappu","""pappu",2
"""par","""par",1
"""parent","""parent",2
"""part","""part",2
"""parti","""parti",3
"""parti"",","""parti"",",1
"""past","""past",20
"""pawar","""pawar",1
"""pawar"",","""pawar"",",1
"""peopl","""peopl",7
"""perfect","""perfect",2
"""pet","""pet",1
"""pitroda","""pitroda",3
"""play","""play",2
"""player","""player",1
"""pleas","""pleas",19
"""pls","""pls",1
"""plz","""plz",1
"""pm","""pm",4
"""polit","""polit",2
"""politician","""politician",1
"""pooja","""pooja",1
"""poor","""poor",2
"""post","""post",4
"""power","""power",1
"""ppl","""ppl",1
"""practic","""practic",1
"""pradyut","""pradyut",1
"""pragya","""pragya",1
"""pray","""pray",3
"""preeti","""preeti",1
"""present","""present",1
"""presid","""presid",1
"""proof","""proof",1
"""protect"",","""protect"",",2
"""public"",","""public"",",1
"""put","""put",1
"""question","""question",2
"""rahul","""rahul",27
"""rajiv","""rajiv",2
"""rajnathsinghji","""rajnathsinghji",1
"""ramadan","""ramadan",1
"""rape","""rape",2
"""rape"",","""rape"",",1
"""rather","""rather",1
"""re"",","""re"",",1
"""read","""read",1
"""real","""real",2
"""realist"",","""realist"",",1
"""realli","""realli",2
"""record","""record",4
"""reentri","""reentri",1
"""relax","""relax",1
"""rememb","""rememb",3
"""repeat","""repeat",1
"""repli","""repli",2
"""republ","""republ",2
"""request","""request",2
"""resolv","""resolv",1
"""restartgoamin","""restartgoamin",3
"""resum","""resum",1
"""resumerrb","""resumerrb",1
"""rg","""rg",1
"""right","""right",1
"""right"",","""right"",",3
"""riot","""riot",1
"""robin","""robin",1
"""root","""root",1
"""routin","""routin",1
"""rule","""rule",1
"""rw","""rw",1
"""saal","""saal",1
"""sab","""sab",1
"""sabkasaathsabkavika","""sabkasaathsabkavika",1
"""sad","""sad",3
"""sadhvi","""sadhvi",9
"""saffron","""saffron",1
"""said","""said",2
"""sam","""sam",5
"""sampitroda","""sampitroda",2
"""sanatan","""sanatan",1
"""save","""save",7
"""savejpwishtown","""savejpwishtown",1
"""saw","""saw",2
"""say","""say",16
"""scamster","""scamster",1
"""seat","""seat",1
"""see","""see",5
"""see"",","""see"",",1
"""seen","""seen",1
"""selfproclaim","""selfproclaim",1
"""send","""send",19
"""servic","""servic",1
"""sh","""sh",4
"""shabash","""shabash",2
"""shame","""shame",24
"""shameless","""shameless",4
"""shameongambhir","""shameongambhir",1
"""shameraga","""shameraga",1
"""sharad","""sharad",1
"""share","""share",1
"""shed","""shed",1
"""shezad","""shezad",1
"""short","""short",1
"""show","""show",2
"""sign","""sign",1
"""sikh","""sikh",2
"""similar","""similar",1
"""similar"",","""similar"",",1
"""simpl","""simpl",2
"""sinc","""sinc",1
"""sir","""sir",46
"""sirji","""sirji",1
"""sirw","""sirw",1
"""small","""small",1
"""solut","""solut",2
"""someon","""someon",3
"""son","""son",1
"""soon","""soon",1
"""sorri","""sorri",1
"""speak","""speak",2
"""spent","""spent",1
"""ssavagea","""ssavagea",1
"""ssc","""ssc",1
"""st","""st",2
"""stand","""stand",1
"""start","""start",1
"""state","""state",1
"""statur","""statur",4
"""still","""still",3
"""stop","""stop",1
"""strang","""strang",1
"""strong","""strong",1
"""student","""student",1
"""studi"",","""studi"",",1
"""suck","""suck",1
"""sudden","""sudden",1
"""suggest","""suggest",1
"""suppli","""suppli",1
"""support","""support",1
"""supremecourt","""supremecourt",1
"""sure","""sure",4
"""surpris","""surpris",9
"""sv","""sv",1
"""swept","""swept",1
"""system","""system",1
"""ta","""ta",1
"""tadipaar","""tadipaar",1
"""tadipar","""tadipar",1
"""tag","""tag",1
"""talk","""talk",4
"""tdp","""tdp",1
"""team","""team",1
"""tejasvi","""tejasvi",1
"""telangana","""telangana",1
"""tell","""tell",2
"""term","""term",1
"""thank","""thank",17
"""thank"",","""thank"",",2
"""thankyou","""thankyou",2
"""that","""that",9
"""thespok","""thespok",1
"""thing","""thing",1
"""think","""think",5
"""thousand","""thousand",1
"""till","""till",1
"""time","""time",5
"""today","""today",2
"""tomorrow","""tomorrow",1
"""total"",","""total"",",1
"""toxic","""toxic",1
"""tri","""tri",1
"""true","""true",11
"""true"",","""true"",",1
"""truli","""truli",1
"""trust","""trust",1
"""truth","""truth",1
"""tweet","""tweet",14
"""two","""two",1
"""typic","""typic",1
"""uh","""uh",1
"""uncl","""uncl",1
"""unfortun","""unfortun",1
"""union","""union",3
"""unpreced","""unpreced",1
"""updat","""updat",1
"""ur","""ur",3
"""urgent","""urgent",5
"""usa","""usa",2
"""use","""use",2
"""utter","""utter",1
"""vacationsth","""vacationsth",1
"""vehem","""vehem",1
"""video","""video",1
"""view","""view",2
"""villag","""villag",1
"""viscious","""viscious",1
"""visit","""visit",2
"""vo","""vo",1
"""voic","""voic",1
"""vote","""vote",11
"""wah","""wah",1
"""wait","""wait",4
"""wanna","""wanna",1
"""want","""want",2
"""wasnt","""wasnt",1
"""wat","""wat",1
"""watch","""watch",6
"""way","""way",1
"""wb","""wb",1
"""welcom","""welcom",1
"""well","""well",3
"""wellsaid","""wellsaid",1
"""west","""west",1
"""what","""what",1
"""whatev","""whatev",5
"""whole","""whole",1
"""wikipediain","""wikipediain",1
"""will","""will",10
"""will"",","""will"",",1
"""win","""win",1
"""wish","""wish",1
"""wld","""wld",1
"""wo","""wo",1
"""woman","""woman",1
"""wonder","""wonder",1
"""word","""word",1
"""work","""work",1
"""worst","""worst",15
"""wow","""wow",3
"""write","""write",1
"""writer","""writer",2
"""yadav","""yadav",1
"""ye","""ye",1
"""yea","""yea",3
"""yeah","""yeah",2
"""yeahhh","""yeahhh",1
"""year","""year",4
"""yes","""yes",10
"""yesss","""yesss",1
"""yesterday","""yesterday",7
"""yh","""yh",1
"""your","""your",2
"0),","0),",1
"11,","11,",1
"119,","119,",1
"130,","130,",1
"25,","25,",1
"58.4441869258881,","58.4441869258881,",1
"aab","aab",1
"aadhar","aadhar",1
"aadmi","aadmi",1
"aam","aam",1
"aap","aap",11
"aap"",","aap"",",2
"aapian","aapian",1
"aaptard","aaptard",1
"aatish","aatish",1
"aatishi","aatishi",1
"aayega","aayega",1
"aayushman","aayushman",1
"aazadi","aazadi",1
"ab"",","ab"",",1
"abl","abl",3
"abo"",","abo"",",1
"abolit","abolit",1
"abou"",","abou"",",1
"about","about",1
"abraham","abraham",1
"absolut","absolut",6
"abt","abt",1
"abund","abund",1
"abus","abus",3
"acb","acb",3
"acb"",","acb"",",1
"accent","accent",2
"accept","accept",5
"access","access",3
"accessphirekbaarmodisarkar","accessphirekbaarmodisarkar",1
"accid","accid",1
"accomplish","accomplish",1
"account","account",1
"accus","accus",3
"accus"",","accus"",",1
"accusationsund"",","accusationsund"",",1
"acd"",","acd"",",1
"acheiv","acheiv",1
"achey","achey",1
"achiev","achiev",4
"across","across",3
"act","act",6
"act"",","act"",",1
"action","action",3
"activ","activ",4
"actor","actor",1
"actual","actual",3
"adamantm","adamantm",1
"add","add",2
"addit","addit",1
"address","address",2
"administr","administr",2
"adminstr","adminstr",1
"admir","admir",1
"admiss","admiss",1
"admit","admit",9
"advantag","advantag",2
"advis","advis",1
"advisor","advisor",1
"advoc","advoc",1
"affair"",","affair"",",1
"affect","affect",3
"affidavit","affidavit",3
"affili","affili",1
"afford"",","afford"",",1
"afraid","afraid",1
"aftermath","aftermath",1
"aga"",","aga"",",1
"age","age",1
"agenda"",","agenda"",",1
"agendaghar","agendaghar",1
"agent","agent",1
"agent"",","agent"",",1
"ago","ago",2
"agre","agre",6
"ah"",","ah"",",1
"ahead","ahead",2
"ahmedpatel","ahmedpatel",1
"ahol"",","ahol"",",1
"aid","aid",3
"aiim","aiim",1
"air","air",3
"aircraft","aircraft",2
"airforc","airforc",1
"aiyer","aiyer",1
"ajitabh","ajitabh",1
"aka","aka",1
"al"",","al"",",2
"alert","alert",1
"algorithm","algorithm",2
"algorithm"",","algorithm"",",1
"alien","alien",1
"alleg","alleg",3
"alli","alli",1
"allianc","allianc",3
"allow","allow",4
"almost","almost",1
"alon","alon",1
"along","along",1
"aloof","aloof",1
"alreadi","alreadi",4
"alreadi"",","alreadi"",",1
"also","also",20
"also"",","also"",",1
"alwar","alwar",1
"alway","alway",15
"alway"",","alway"",",1
"alwaz","alwaz",1
"alzheim","alzheim",1
"amarind","amarind",1
"ambani","ambani",1
"amend","amend",3
"ami"",","ami"",",1
"amit","amit",5
"amitshah","amitshah",1
"among","among",9
"amongst","amongst",1
"amount","amount",2
"ampchowkidar"",","ampchowkidar"",",1
"ampif","ampif",1
"amppm","amppm",1
"amrapali","amrapali",1
"anand","anand",1
"anchor"",","anchor"",",2
"ancil"",","ancil"",",1
"anger","anger",1
"announc","announc",2
"anoth","anoth",5
"answer","answer",5
"answer"",","answer"",",2
"anti","anti",10
"anti"",","anti"",",1
"anticorrupt","anticorrupt",2
"anticow","anticow",1
"antiindia","antiindia",1
"antin","antin",1
"antin"",","antin"",",1
"antisikh","antisikh",7
"anymor","anymor",2
"anyon","anyon",4
"anyt"",","anyt"",",1
"anyth","anyth",13
"anythingther","anythingther",1
"anywayplus","anywayplus",1
"anywher","anywher",1
"ap"",","ap"",",1
"apnither","apnither",1
"apolog","apolog",9
"apolog"",","apolog"",",1
"apologis","apologis",2
"apologis"",","apologis"",",1
"apoplogis","apoplogis",1
"app","app",1
"app"",","app"",",1
"appear","appear",1
"appeas","appeas",1
"applaus","applaus",1
"appli","appli",1
"appoint","appoint",1
"appreci","appreci",2
"apprentic","apprentic",1
"apprenticesh"",","apprenticesh"",",1
"appropri","appropri",1
"april","april",6
"apt","apt",1
"ar"",","ar"",",1
