"","word","freq"
"chowkidarchorhai"",","chowkidarchorhai"",",1
"chr"",","chr"",",2
"christian","christian",2
"chronolog","chronolog",1
"chupaan","chupaan",1
"cing","cing",2
"circumst","circumst",1
"circumst"",","circumst"",",1
"cite","cite",6
"citi","citi",3
"citieson","citieson",2
"citizen","citizen",7
"citizen"",","citizen"",",1
"citizenship","citizenship",1
"cji","cji",1
"claim","claim",1
"clap","clap",1
"class","class",3
"claus","claus",1
"clean","clean",2
"clear","clear",32
"clear"",","clear"",",1
"clever","clever",1
"clinic","clinic",1
"clip","clip",1
"clipwher","clipwher",1
"close","close",2
"closer","closer",1
"closest","closest",2
"closur","closur",1
"closur"",","closur"",",1
"cloth","cloth",1
"clue","clue",1
"cm"",","cm"",",1
"cmon","cmon",1
"co"",","co"",",6
"coach","coach",1
"coalit"",","coalit"",",1
"coc","coc",1
"cock","cock",1
"cohort","cohort",1
"coll"",","coll"",",1
"colleagu","colleagu",1
"collector"",","collector"",",1
"colleg","colleg",3
"collus","collus",2
"color","color",1
"colour","colour",1
"com"",","com"",",1
"come","come",61
"comfort","comfort",1
"comm"",","comm"",",1
"commenc","commenc",1
"comment","comment",3
"comment"",","comment"",",2
"commentsnarendramodi"",","commentsnarendramodi"",",1
"commerc","commerc",1
"commit","commit",2
"commodor","commodor",1
"common","common",2
"commonwealth","commonwealth",7
"communist","communist",5
"compani","compani",1
"compet","compet",1
"complaint","complaint",5
