"","word","freq"
"calcul","calcul",1
"call","call",23
"calori"",","calori"",",1
"came","came",2
"campaign","campaign",13
"campaign"",","campaign"",",1
"can","can",56
"can"",","can"",",2
"candid","candid",7
"candid"",","candid"",",1
"cannon","cannon",2
"cant","cant",16
"cant"",","cant"",",1
"canva","canva",1
"capac","capac",1
"capt","capt",1
"captain","captain",24
"card","card",1
"care","care",3
"care"",","care"",",3
"carri","carri",26
"cartoon","cartoon",1
"cas","cas",1
"case","case",6
"case"",","case"",",1
"cast","cast",1
"catch","catch",2
"categori","categori",1
"caus","caus",2
"celebr","celebr",3
"celebr"",","celebr"",",1
"cement","cement",1
"centr","centr",3
"central","central",4
"certain","certain",1
"chacha","chacha",1
"chahiy"",","chahiy"",",1
"chai","chai",1
"chain","chain",1
"chairperson","chairperson",2
"chaiwala","chaiwala",1
"chaiwala"",","chaiwala"",",1
"challeng","challeng",4
"chamcha","chamcha",1
"chanc","chanc",3
"chanc"",","chanc"",",1
"chandigarh","chandigarh",58
"chandigarh"",","chandigarh"",",1
"chang","chang",9
"channel","channel",2
"charact"",","charact"",",1
"character(0)))","character(0)))",1
"character(0),","character(0),",5
"charg","charg",3
"charm","charm",1
"chatta"",","chatta"",",1
"chatuevedi","chatuevedi",1
"cheat","cheat",6
"cheater","cheater",1
"check","check",1
"cheek","cheek",1
"cheerlead","cheerlead",1
"chehra","chehra",1
"chemistri","chemistri",1
"chhodo","chhodo",1
"chhota","chhota",1
"chief","chief",4
"chiefmodi","chiefmodi",1
"chiefold","chiefold",1
"children","children",1
"chipschip","chipschip",1
"chit","chit",25
"cho","cho",1
"choic","choic",2
"choic"",","choic"",",1
"chokidar","chokidar",1
"chopper","chopper",27
"chor","chor",19
"chor"",","chor"",",3
"chordont","chordont",1
"chore","chore",1
"chorkabeta"",","chorkabeta"",",1
"choti","choti",1
"choudhuri","choudhuri",12
"choukidar","choukidar",1
"chowk","chowk",1
"chowkidaar","chowkidaar",2
"chowkidaarchorhai","chowkidaarchorhai",1
"chowkidar","chowkidar",4
"chowkidar"",","chowkidar"",",1
"chowkidarchorhai","chowkidarchorhai",3
"christian","christian",3
"chunavi","chunavi",1
"chupaan","chupaan",1
"chweet"",","chweet"",",1
"ci"",","ci"",",3
"circl","circl",1
"circul","circul",1
"circumst","circumst",2
"citi","citi",1
"citi"",","citi"",",1
"citiz"",","citiz"",",1
"citizen","citizen",1
"citizenship","citizenship",5
"citizenshipakshay","citizenshipakshay",2
"clai"",","clai"",",1
"claim","claim",3
"class","class",4
