"","word","freq"
"""thinkhow","""thinkhow",1
"""thread","""thread",1
"""thus","""thus",1
"""time","""time",9
"""timesmagazin","""timesmagazin",1
"""tipu","""tipu",3
"""today","""today",4
"""toh","""toh",2
"""toilet","""toilet",2
"""total","""total",1
"""tough","""tough",3
"""toxic","""toxic",1
"""tri","""tri",2
"""true","""true",6
"""true"",","""true"",",1
"""truth","""truth",1
"""typic"",","""typic"",",2
"""ultim","""ultim",1
"""unbias","""unbias",5
"""uncl","""uncl",2
"""unfortun","""unfortun",2
"""unlik","""unlik",1
"""updat","""updat",1
"""ur","""ur",2
"""urg","""urg",1
"""use","""use",1
"""utter","""utter",1
"""valid","""valid",1
"""vicious","""vicious",1
"""video","""video",1
"""vivo","""vivo",1
"""voic","""voic",1
"""vote","""vote",7
"""wait","""wait",1
"""wake","""wake",1
"""want","""want",4
"""wasnt","""wasnt",1
"""watch","""watch",4
"""welcom","""welcom",4
"""well","""well",17
"""well"",","""well"",",1
"""whatev","""whatev",1
"""whole","""whole",1
"""will","""will",10
"""wish","""wish",2
"""wo","""wo",1
"""woman","""woman",1
"""wonder","""wonder",1
"""wont","""wont",2
"""work","""work",1
"""world","""world",2
"""worri","""worri",1
"""worst","""worst",1
"""wouldnt","""wouldnt",1
"""wow","""wow",3
"""written","""written",2
"""wrong","""wrong",1
"""yea","""yea",4
"""yeah","""yeah",3
"""year","""year",1
"""yes","""yes",16
"""yessir","""yessir",1
"""yesterday","""yesterday",1
"""your","""your",2
"""youth","""youth",19
"""youv","""youv",1
"""zero","""zero",1
"0),","0),",1
"11,","11,",1
"119,","119,",1
"130,","130,",1
"25,","25,",1
"36.8803811073303,","36.8803811073303,",1
"aab","aab",1
"aadmi","aadmi",1
"aaj","aaj",2
"aam","aam",2
"aap","aap",2
"aap"",","aap"",",1
"aapian","aapian",1
"aapk","aapk",1
"aapko","aapko",1
"aapn","aapn",1
"aar","aar",5
"aatish","aatish",2
"aatish"",","aatish"",",1
"aayegatohmodihi"",","aayegatohmodihi"",",2
"aazadi","aazadi",1
"abcd","abcd",1
"abhoganyay"",","abhoganyay"",",3
"abhor","abhor",1
"abject","abject",2
"abl","abl",4
"abl"",","abl"",",1
"abo"",","abo"",",1
"abr","abr",1
"absolut","absolut",1
"absurd","absurd",1
"abt","abt",4
"abus","abus",2
"accep"",","accep"",",1
"accept","accept",7
"accid","accid",3
"account","account",4
"account"",","account"",",2
"accus","accus",3
"ach","ach",1
"acharya","acharya",2
"acheiv","acheiv",1
"achiev","achiev",5
"achiev"",","achiev"",",2
"achievemen"",","achievemen"",",1
"across","across",1
"act","act",3
"action"",","action"",",1
"activist","activist",2
"actual","actual",3
"ad"",","ad"",",1
"adami","adami",1
"add","add",3
"address","address",8
"address"",","address"",",1
"adject","adject",1
"adjudg","adjudg",1
"admi","admi",1
"administr","administr",1
"administr"",","administr"",",1
"adminstr","adminstr",1
"admir","admir",3
"admit","admit",59
"advic","advic",2
"advisori","advisori",1
"affect","affect",1
"affidavitmanipul","affidavitmanipul",1
"affili","affili",1
"afford"",","afford"",",1
"afraid","afraid",1
"africa","africa",1
"aft"",","aft"",",1
"afzal","afzal",1
"aga"",","aga"",",1
"age","age",2
"agenda","agenda",2
"agendaghar","agendaghar",1
"ago","ago",3
"agre","agre",9
"agre"",","agre"",",1
"ahe","ahe",1
"ahead","ahead",1
"ahluwalia","ahluwalia",1
"ahmad","ahmad",2
"ahol"",","ahol"",",1
"aicc","aicc",2
"aihsaan","aihsaan",1
"aim","aim",2
"air","air",50
"airport","airport",5
"airport"",","airport"",",1
"aishwarya","aishwarya",1
"aiyar","aiyar",3
"aiyer","aiyer",2
"ajai","ajai",1
"ajitabh","ajitabh",1
"akbar","akbar",1
"akhlesh"",","akhlesh"",",1
"akshay","akshay",1
"al"",","al"",",4
"albert","albert",1
"alien","alien",1
"align","align",2
"alimuddin","alimuddin",1
"aliv"",","aliv"",",1
"alleg","alleg",3
"alli","alli",1
"allianc","allianc",4
"allow","allow",3
"allth","allth",1
"almost","almost",4
"along","along",24
"aloo"",","aloo"",",1
"aloof","aloof",1
"alreadi","alreadi",3
"alreadi"",","alreadi"",",3
"also","also",14
"alternativebal","alternativebal",3
"alver","alver",1
"alwar","alwar",1
"alway","alway",13
"amarind","amarind",1
"ambani","ambani",6
"ambanianil","ambanianil",1
"amethi"",","amethi"",",2
"amethido","amethido",1
"amid","amid",1
"amndnt","amndnt",2
"among","among",2
"amount","amount",1
"amount"",","amount"",",1
"ampchowkidar"",","ampchowkidar"",",1
"ampgivin","ampgivin",1
"amprg","amprg",2
"amrind","amrind",29
"analysi","analysi",1
"analytica","analytica",27
"andhra","andhra",1
"angryon","angryon",1
"anil","anil",3
"anniversari","anniversari",5
"announc","announc",1
"anot"",","anot"",",1
"anoth","anoth",3
"anoth"",","anoth"",",1
"anotherdo","anotherdo",1
"ansari","ansari",3
"answer","answer",8
"anthem","anthem",1
"anti","anti",11
"anti"",","anti"",",1
"antihindu","antihindu",3
"antisikh"",","antisikh"",",3
"anybodi","anybodi",1
"anyon","anyon",2
"anyth","anyth",2
"anyway","anyway",1
"ap"",","ap"",",1
"apart","apart",1
"apn","apn",1
"apolit"",","apolit"",",1
"apolog","apolog",12
"apolog"",","apolog"",",2
"apologis","apologis",7
"apologis"",","apologis"",",3
"apologist"",","apologist"",",1
"app","app",1
"app"",","app"",",2
"appeal","appeal",1
"appeas","appeas",1
"appl"",","appl"",",1
"appli","appli",2
"appoint","appoint",1
"appreci","appreci",2
"apprentic","apprentic",1
"apprenticesh"",","apprenticesh"",",1
"approach","approach",1
"approach"",","approach"",",1
"april"",","april"",",1
"arent","arent",1
"areord"",","areord"",",1
"argu","argu",17
"argu"",","argu"",",1
"argument","argument",3
"arjun","arjun",9
"arm","arm",1
"armi","armi",1
"armi"",","armi"",",1
"arnab","arnab",2
"arnabgoswamiyou","arnabgoswamiyou",2
"around","around",1
"arrest","arrest",2
"arriv","arriv",1
"arrog","arrog",5
"arthur","arthur",1
"artic","artic",1
"articl","articl",15
"articl"",","articl"",",4
"artist","artist",1
"arvind","arvind",1
"arxehox","arxehox",1
"asham","asham",1
"asiangam","asiangam",1
"asid","asid",1
"ask","ask",32
"ask"",","ask"",",1
"aspir","aspir",7
"ass"",","ass"",",1
"assam","assam",1
"assassin","assassin",3
"assembl","assembl",1
"assess","assess",2
"asset","asset",2
"asset"",","asset"",",1
"assign","assign",1
"assin","assin",1
"associ","associ",1
"associ"",","associ"",",1
"assum","assum",3
"astrolog","astrolog",1
"astut","astut",1
"atish","atish",2
"atishi","atishi",1
"atishi"",","atishi"",",1
"atroc","atroc",3
"attack","attack",36
"attempt","attempt",1
"attend"",","attend"",",2
"attract","attract",1
"audac","audac",1
"audit"",","audit"",",2
"aukaat","aukaat",1
"aulaad","aulaad",1
"aunti","aunti",1
"aur","aur",5
"authent","authent",1
"author","author",7
"authoris","authoris",1
"availablethen","availablethen",1
"avoid","avoid",1
"awar","awar",1
"award","award",1
"awardwin","awardwin",1
"away","away",6
"ayaga","ayaga",1
"ayar","ayar",1
"ayegatohmodihi"",","ayegatohmodihi"",",1
"ayer","ayer",1
"b"",","b"",",126
"ba"",","ba"",",2
"baap","baap",1
"baar"",","baar"",",1
"babe","babe",1
"bacha","bacha",2
"bachchan","bachchan",1
"back","back",85
"back"",","back"",",2
"background","background",1
"bad","bad",8
"bad"",","bad"",",2
"badlapur","badlapur",1
"bag","bag",1
"bagga","bagga",1
"bahut","bahut",1
"baishakhi","baishakhi",1
"bakra","bakra",1
"bakwaa","bakwaa",1
"bal"",","bal"",",1
"balakot","balakot",48
"balakotairstrik"",","balakotairstrik"",",1
"ballet","ballet",1
"ballot"",","ballot"",",1
"balraj","balraj",3
"ban","ban",5
"ban"",","ban"",",2
"bandhan","bandhan",1
"banglor","banglor",1
"bankrupt","bankrupt",4
"bankrupt"",","bankrupt"",",1
"bankruptci","bankruptci",1
"bankswith","bankswith",3
"bareilli","bareilli",1
"bark","bark",1
"barkha","barkha",1
"barkhav"",","barkhav"",",1
"barm","barm",1
"bas"",","bas"",",1
"basava","basava",3
"base","base",1
"basi","basi",2
"basic","basic",3
"battl","battl",3
"bazarbjp","bazarbjp",2
"bc"",","bc"",",1
"bcoz","bcoz",3
"beant","beant",2
"beat","beat",1
"beaten","beaten",1
"beauti","beauti",2
"becam","becam",1
"becausecongresss","becausecongresss",2
"becom","becom",11
"bed","bed",1
"beg","beg",4
"beg"",","beg"",",1
"behav","behav",2
"behest","behest",2
"behind","behind",1
"behind"",","behind"",",1
"bei"",","bei"",",1
"belief","belief",1
"believ","believ",26
"believ"",","believ"",",2
"belong","belong",2
"belov","belov",4
"bengal","bengal",1
"bengaluru","bengaluru",1
"besharam","besharam",1
"best","best",10
